,external_urls,href,type,uri,id
2,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,6kcHg7XL6SKyPNd78daRBL
3,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,1z3ugFmUKoCzGsI6jdY4Ci
4,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,1bx7OUl2UmAnA5oZkm9If7
5,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,7j31rVgGX9Q2blT92VBEA0
6,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,2iUmqdfGZcHIhS3b9E9EWq
7,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,75D3n6wnFQmu1HVmLAlWM4
8,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,2WpCr1ls4bjL54NAcN5DAA
9,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,6gBjUipB0ZxHd1BvwdJTDQ
10,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,5FYRDy9dLVi2uTa8httrVk
11,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,2SsY5k7UWFqgye3PUMG3Oq
