,ArtistId,SongId
115,06HL4z0CvFAxyc27GXpf02,0TvQLMecTE8utzoNmvXRbK
116,06HL4z0CvFAxyc27GXpf02,1u8c2t2Cy7UBoG4ArRcF5g
117,06HL4z0CvFAxyc27GXpf02,3WC5CVAahvn98hiseoIvbw
118,06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr
119,6jJ0s89eD6GaHleKKya26X,14iN3o8ptQ8cFVZTEmyQRV
120,6jJ0s89eD6GaHleKKya26X,2k3MdyqMHmfZubFg3pmtby
121,6jJ0s89eD6GaHleKKya26X,235LXPXfi0SmOaS9TaCh3c
122,6jJ0s89eD6GaHleKKya26X,0iGckQFyv6svOfAbAY9aWJ
123,6jJ0s89eD6GaHleKKya26X,3f7gYMirBEKuc57218BjOY
124,7hJcb9fa4alzcOq3EaNPoG,3f7gYMirBEKuc57218BjOY
125,6jJ0s89eD6GaHleKKya26X,455AfCsOhhLPRc68sE01D8
126,2wpJOPmf1TIOzrB9mzHifd,0XXyGdcVEHZ6CnmAlNsqKl
127,2wpJOPmf1TIOzrB9mzHifd,3G6SMlksLlVjC17npbXQCA
128,2wpJOPmf1TIOzrB9mzHifd,0wG4gampO24nC7VKm5pxjg
129,3hv9jJF3adDNsBSIQDqcjp,32OlwWuMpZ6b0aN2RZOeMS
130,0du5cEVh5yTK9QJze8zA0C,32OlwWuMpZ6b0aN2RZOeMS
131,5WWSL6rElJeUk3Uc1S2RyD,4duwzDXqXM9Sg3I92OAZsC
132,5WWSL6rElJeUk3Uc1S2RyD,1ChulFMnwxoD74Me8eX2TU
133,4yiQZ8tQPux8cPriYMWUFP,5BHtT1xpC44pGy1J7RKY4T
134,0z4gvV4rjIZ9wHck67ucSV,5BHtT1xpC44pGy1J7RKY4T
135,2FXC3k01G6Gw61bmprjgqS,3dYD57lRAUcMHufyqn9GcI
136,2jzc5TC5TVFLXQlBNiIUzE,2WfaOiMkCvy7F5fcp2zZ8L
137,3fMbdgg4jU18AjLCKBhRSm,3S2R0EVwBSAVMd5UMgKTL0
138,3fMbdgg4jU18AjLCKBhRSm,2bCQHF9gdG5BNDVuEIEnNk
139,3fMbdgg4jU18AjLCKBhRSm,3BovdzfaX4jb5KFQwoPfAw
140,3fMbdgg4jU18AjLCKBhRSm,5ChkMS8OtdzJeqyybCc9R5
141,4vnmifnGOeRXfNTRtgd4Tj,6tFJdAZGXGsHTdMKmc1NjR
142,0GOx72r5AAEKRGQFn3xqXK,54MFLMtI1lDZXzWCnrL2jo
143,0GOx72r5AAEKRGQFn3xqXK,4w47YE9rjhmZUdtZjSCb82
144,0GOx72r5AAEKRGQFn3xqXK,3a9TMd2Yrza6HXqqlfMtfy
145,5j4HeCoUlzhfWtjAfM1acR,66u6ycRUqlrW9C05QJUmSo
146,5j4HeCoUlzhfWtjAfM1acR,4APjoR6Fmrrl707Z1cShHS
147,5j4HeCoUlzhfWtjAfM1acR,7fWWbkok99Tvh8aly2Buox
148,5j4HeCoUlzhfWtjAfM1acR,1pRvlcrVxqdDAyYT1Ym3Wq
149,5j4HeCoUlzhfWtjAfM1acR,6M4nkEPZMj58acftDRTuKL
150,5j4HeCoUlzhfWtjAfM1acR,34dx8DACTJsc3rsJdaEIQw
151,5j4HeCoUlzhfWtjAfM1acR,2AMysGXOe0zzZJMtH3Nizb
152,5j4HeCoUlzhfWtjAfM1acR,2GYHyAoLWpkxLVa4oYTVko
153,6Tz0QRoe083BcOo2YbG9lV,2IJftBfq7pJ43tfnOR0RB3
154,62GoYifV4njTdvS8lD2yYT,4KWVR93JzJuVZtigaiZSxj
155,3lczz4xabLZK3A8KfMOlgq,4KWVR93JzJuVZtigaiZSxj
156,33YwE27uFjLjx0lAusgLYE,4KWVR93JzJuVZtigaiZSxj
157,3YNLn8zzHU0dhPilmhDaIz,4KWVR93JzJuVZtigaiZSxj
158,62GoYifV4njTdvS8lD2yYT,6tHebaRiIFTFraLOB3CgJB
159,3Ww8GMbCDMAGwJJ2hd7z7z,6tHebaRiIFTFraLOB3CgJB
160,5qEtLvXzYdv0G7c7rR6irX,3WvvYdNIcRBh8pzvZ03khk
161,5qEtLvXzYdv0G7c7rR6irX,6uUYdIpODNtc7QbWDLRCeK
162,5qEtLvXzYdv0G7c7rR6irX,1cVqfZ3r5xsviAe6HKaFGc
163,5qEtLvXzYdv0G7c7rR6irX,6CuMbl3b26uBxUlH1F6JDu
164,5qEtLvXzYdv0G7c7rR6irX,42JySkX0qz4f7XamC4tzGy
165,5qEtLvXzYdv0G7c7rR6irX,0LNyWv4RYKbaXIvzk6nMxZ
166,0uq5PttqEjj3IH1bzwcrXF,1Je1IMUlBXcx1Fz0WE7oPT
167,2ysnwxxNtSgbb9t1m2Ur4j,4N5s8lPTsjI9EGP7K4SXzB
168,2ysnwxxNtSgbb9t1m2Ur4j,2vzMWO0T008m86yDnXwkII
169,2ysnwxxNtSgbb9t1m2Ur4j,4ofwffwvvnbSkrMSCKQDaC
170,2ysnwxxNtSgbb9t1m2Ur4j,2ixsaeFioXJmMgkkbd4uj1
171,0LcJLqbBmaGUft1e9Mm8HV,2TxCwUlqaOH3TIyJqGgR91
172,5lpH0xAS4fVfLkACg9DAuM,2gG7E5OZi5D5QLRIctv63z
