,external_urls,href,id,name,type,uri,country
84,https://open.spotify.com/artist/2jzc5TC5TVFLXQlBNiIUzE,https://api.spotify.com/v1/artists/2jzc5TC5TVFLXQlBNiIUzE,2jzc5TC5TVFLXQlBNiIUzE,a-ha,artist,spotify:artist:2jzc5TC5TVFLXQlBNiIUzE,Norway
85,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,United States
86,https://open.spotify.com/artist/4vnmifnGOeRXfNTRtgd4Tj,https://api.spotify.com/v1/artists/4vnmifnGOeRXfNTRtgd4Tj,4vnmifnGOeRXfNTRtgd4Tj,Sexion d'Assaut,artist,spotify:artist:4vnmifnGOeRXfNTRtgd4Tj,France
87,https://open.spotify.com/artist/0GOx72r5AAEKRGQFn3xqXK,https://api.spotify.com/v1/artists/0GOx72r5AAEKRGQFn3xqXK,0GOx72r5AAEKRGQFn3xqXK,GIMS,artist,spotify:artist:0GOx72r5AAEKRGQFn3xqXK,France
88,https://open.spotify.com/artist/5j4HeCoUlzhfWtjAfM1acR,https://api.spotify.com/v1/artists/5j4HeCoUlzhfWtjAfM1acR,5j4HeCoUlzhfWtjAfM1acR,Stromae,artist,spotify:artist:5j4HeCoUlzhfWtjAfM1acR,Belgium
89,https://open.spotify.com/artist/6Tz0QRoe083BcOo2YbG9lV,https://api.spotify.com/v1/artists/6Tz0QRoe083BcOo2YbG9lV,6Tz0QRoe083BcOo2YbG9lV,Nena,artist,spotify:artist:6Tz0QRoe083BcOo2YbG9lV,Germany
90,https://open.spotify.com/artist/62GoYifV4njTdvS8lD2yYT,https://api.spotify.com/v1/artists/62GoYifV4njTdvS8lD2yYT,62GoYifV4njTdvS8lD2yYT,insaneintherainmusic,artist,spotify:artist:62GoYifV4njTdvS8lD2yYT,Boston
91,https://open.spotify.com/artist/3lczz4xabLZK3A8KfMOlgq,https://api.spotify.com/v1/artists/3lczz4xabLZK3A8KfMOlgq,3lczz4xabLZK3A8KfMOlgq,Chris Allison,artist,spotify:artist:3lczz4xabLZK3A8KfMOlgq,
92,https://open.spotify.com/artist/33YwE27uFjLjx0lAusgLYE,https://api.spotify.com/v1/artists/33YwE27uFjLjx0lAusgLYE,33YwE27uFjLjx0lAusgLYE,Adriana Figueroa,artist,spotify:artist:33YwE27uFjLjx0lAusgLYE,United States
93,https://open.spotify.com/artist/3YNLn8zzHU0dhPilmhDaIz,https://api.spotify.com/v1/artists/3YNLn8zzHU0dhPilmhDaIz,3YNLn8zzHU0dhPilmhDaIz,Brandon Miles Shelton,artist,spotify:artist:3YNLn8zzHU0dhPilmhDaIz,
94,https://open.spotify.com/artist/3Ww8GMbCDMAGwJJ2hd7z7z,https://api.spotify.com/v1/artists/3Ww8GMbCDMAGwJJ2hd7z7z,3Ww8GMbCDMAGwJJ2hd7z7z,Lena Raine,artist,spotify:artist:3Ww8GMbCDMAGwJJ2hd7z7z,United States
95,https://open.spotify.com/artist/5qEtLvXzYdv0G7c7rR6irX,https://api.spotify.com/v1/artists/5qEtLvXzYdv0G7c7rR6irX,5qEtLvXzYdv0G7c7rR6irX,Lyn,artist,spotify:artist:5qEtLvXzYdv0G7c7rR6irX,South Korea
96,https://open.spotify.com/artist/2ysnwxxNtSgbb9t1m2Ur4j,https://api.spotify.com/v1/artists/2ysnwxxNtSgbb9t1m2Ur4j,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,artist,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,United Kingdom
97,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,0LcJLqbBmaGUft1e9Mm8HV,ABBA,artist,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,Sweden
98,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,5lpH0xAS4fVfLkACg9DAuM,Wham!,artist,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,United Kingdom
